Team,Winrate,Elo,International Elo,LAN Winrate,K/D Ratio,Average Damage,Average Combat Score,Average First Kills,Average First Deaths Per Round,Rating,KAST,Clutch Success,Image Path,Region,id
KeepBest Gaming,0.0,1445.731380772266,1500.0,50.0,1.0,130.0,200.0,5.0,0.25,1.0,70.0,15.0,/static/logos/keepbest-gaming-logo.png,CN,44
Keyd Stars,20.0,1443.9373653404598,1443.9373653404598,20.5607476635514,0.990589898989899,125.46585858585858,187.03636363636366,3.1717171717171717,0.10187878787878787,0.9559533799533799,69.88606060606061,12.41998556998557,/static/logos/keyd-stars-logo.png,AMER,45
Kiwoom DRX,53.333333333333336,1519.2569319584159,1505.7568060832914,40.0,0.9924008926106189,128.245614434585,191.35645959432722,2.7851819748878577,1.456086760053672,0.9648153121388415,69.57361829347124,33.676984126984124,/static/logos/kiwoom-drx-logo.png,Pacific,46
LEVIATÁN,66.66666666666666,1618.7551468836389,1576.675252966902,79.43925233644859,1.3168951282369008,135.7861455238661,206.37859229550406,3.5288376411170526,1.6016346727074666,1.1230695236680532,77.00086619875223,45.72053571428572,/static/logos/leviatan-logo.png,AMER,47
LOUD,66.66666666666666,1562.1261352303136,1637.1454809836523,61.22448979591836,0.9582656578464211,126.52678801590567,191.38673362585126,4.027021573198044,2.9617882352941174,0.9497103752456694,69.64783262489145,29.98125,/static/logos/loud-logo.png,AMER,48
Liberty,0.0,1453.5587096005713,1453.5587096005713,0.0,0.7370629370629371,121.86013986013987,179.94405594405595,2.4230769230769234,0.11437062937062936,0.8085314685314686,64.11888111888112,7.793269230769231,/static/logos/liberty-logo.png,AMER,49
M80,0.0,1462.0848813751004,1500.0,50.0,0.8238433157872886,130.7,192.10000000000002,4.3,4.5,0.925,67.8,15.0,/static/logos/m80-logo.png,AMER,50
MIBR,53.333333333333336,1525.6124444417896,1494.0339637817967,40.59405940594059,1.067160473508523,132.43080610021786,198.09725490196078,4.6559041394335505,4.240291503267974,1.0052435729847493,71.77359477124182,29.791666666666668,/static/logos/mibr-logo.png,AMER,51
NORTHEPTION,33.33333333333333,1475.354013659915,1475.354013659915,30.15873015873015,0.8367521367521368,117.69824032176973,177.2149824032177,2.944997486173957,0.10621719457013575,0.8293634992458522,64.37456008044244,16.090277777777775,/static/logos/northeption-logo.png,Pacific,52
NRG,53.333333333333336,1708.9040909245055,1653.101800444321,58.16326530612243,1.0709408741526834,130.67480633115306,197.79372456004032,5.175529334786301,3.1970559519141566,1.0189953650981516,71.97505827505827,34.891666666666666,/static/logos/nrg-logo.png,AMER,53
