Tournament,Stage,Match Type,Map,Team A,Team B,Team A Score,Team B Score
VCT 2026: Pacific Stage 2,Group Stage,Week 2,Haven,Rex Regum Qeon,ZETA DIVISION,9,13
VCT 2026: Pacific Stage 2,Group Stage,Week 2,Breeze,Rex Regum Qeon,ZETA DIVISION,5,13
VCT 2026: Pacific Stage 2,Group Stage,Week 2,Summit,DetonatioN FocusMe,Paper Rex,10,13
VCT 2026: Pacific Stage 2,Group Stage,Week 2,Ascent,DetonatioN FocusMe,Paper Rex,15,17
VCT 2026: Pacific Stage 2,Group Stage,Week 2,Ascent,Nongshim RedForce,Global Esports,6,13
VCT 2026: Pacific Stage 2,Group Stage,Week 2,Sunset,Nongshim RedForce,Global Esports,13,7
VCT 2026: Pacific Stage 2,Group Stage,Week 2,Breeze,Nongshim RedForce,Global Esports,13,7
VCT 2026: Pacific Stage 2,Group Stage,Week 2,Ascent,Team Secret,T1,5,13
VCT 2026: Pacific Stage 2,Group Stage,Week 2,Haven,Team Secret,T1,5,13
VCT 2026: Pacific Stage 2,Group Stage,Week 2,Summit,Paper Rex,Kiwoom DRX,13,1
VCT 2026: Pacific Stage 2,Group Stage,Week 2,Breeze,Paper Rex,Kiwoom DRX,13,6
VCT 2026: Pacific Stage 2,Group Stage,Week 2,Haven,Gen.G,Rex Regum Qeon,7,13
VCT 2026: Pacific Stage 2,Group Stage,Week 2,Summit,Gen.G,Rex Regum Qeon,13,11
VCT 2026: Pacific Stage 2,Group Stage,Week 2,Sunset,Gen.G,Rex Regum Qeon,13,5
VCT 2026: Pacific Stage 2,Group Stage,Week 3,Lotus,VARREL,DetonatioN FocusMe,11,13
VCT 2026: Pacific Stage 2,Group Stage,Week 3,Haven,VARREL,DetonatioN FocusMe,13,15
VCT 2026: Pacific Stage 2,Group Stage,Week 3,Ascent,VARREL,DetonatioN FocusMe,13,3
VCT 2026: Pacific Stage 2,Group Stage,Week 3,Split,FULL SENSE,ZETA DIVISION,14,12
VCT 2026: Pacific Stage 2,Group Stage,Week 3,Sunset,FULL SENSE,ZETA DIVISION,10,13
VCT 2026: Pacific Stage 2,Group Stage,Week 3,Haven,FULL SENSE,ZETA DIVISION,11,13
VCT 2026: Pacific Stage 2,Group Stage,Week 3,Summit,Team Secret,Paper Rex,10,13
VCT 2026: Pacific Stage 2,Group Stage,Week 3,Ascent,Team Secret,Paper Rex,8,13
VCT 2026: Pacific Stage 2,Group Stage,Week 3,Breeze,Global Esports,Gen.G,13,8
VCT 2026: Pacific Stage 2,Group Stage,Week 3,Sunset,Global Esports,Gen.G,12,14
VCT 2026: Pacific Stage 2,Group Stage,Week 3,Summit,Global Esports,Gen.G,11,13
VCT 2026: Pacific Stage 2,Group Stage,Week 3,Sunset,T1,DetonatioN FocusMe,5,13
VCT 2026: Pacific Stage 2,Group Stage,Week 3,Haven,T1,DetonatioN FocusMe,13,11
VCT 2026: Pacific Stage 2,Group Stage,Week 3,Ascent,T1,DetonatioN FocusMe,5,13
VCT 2026: Pacific Stage 2,Group Stage,Week 3,Summit,FULL SENSE,Rex Regum Qeon,9,13
VCT 2026: Pacific Stage 2,Group Stage,Week 3,Ascent,FULL SENSE,Rex Regum Qeon,13,4
VCT 2026: Pacific Stage 2,Group Stage,Week 3,Sunset,FULL SENSE,Rex Regum Qeon,8,13
VCT 2026: Pacific Stage 2,Group Stage,Week 3,Summit,VARREL,Kiwoom DRX,6,13
VCT 2026: Pacific Stage 2,Group Stage,Week 3,Sunset,VARREL,Kiwoom DRX,13,8
VCT 2026: Pacific Stage 2,Group Stage,Week 3,Haven,VARREL,Kiwoom DRX,13,10
VCT 2026: Pacific Stage 2,Group Stage,Week 3,Sunset,ZETA DIVISION,Nongshim RedForce,13,10
VCT 2026: Pacific Stage 2,Group Stage,Week 3,Breeze,ZETA DIVISION,Nongshim RedForce,13,15
VCT 2026: Pacific Stage 2,Group Stage,Week 3,Haven,ZETA DIVISION,Nongshim RedForce,0,13
VCT 2026: Pacific Stage 2,Group Stage,Week 4,Breeze,Team Secret,DetonatioN FocusMe,6,13
VCT 2026: Pacific Stage 2,Group Stage,Week 4,Split,Team Secret,DetonatioN FocusMe,11,13
VCT 2026: Pacific Stage 2,Group Stage,Week 4,Lotus,Gen.G,FULL SENSE,13,8
VCT 2026: Pacific Stage 2,Group Stage,Week 4,Sunset,Gen.G,FULL SENSE,10,13
VCT 2026: Pacific Stage 2,Group Stage,Week 4,Split,Gen.G,FULL SENSE,13,11
VCT 2026: Pacific Stage 2,Group Stage,Week 4,Lotus,Kiwoom DRX,T1,9,13
VCT 2026: Pacific Stage 2,Group Stage,Week 4,Breeze,Kiwoom DRX,T1,5,13
VCT 2026: Pacific Stage 2,Group Stage,Week 4,Breeze,Global Esports,ZETA DIVISION,13,9
VCT 2026: Pacific Stage 2,Group Stage,Week 4,Split,Global Esports,ZETA DIVISION,14,12
VCT 2026: China Stage 2,Group Stage,Week 3,Split,TYLOO,Nova Esports,12,14
VCT 2026: China Stage 2,Group Stage,Week 3,Summit,TYLOO,Nova Esports,11,13
VCT 2026: China Stage 2,Group Stage,Week 3,Breeze,FunPlus Phoenix,EDward Gaming,13,9
VCT 2026: China Stage 2,Group Stage,Week 3,Ascent,FunPlus Phoenix,EDward Gaming,9,13
VCT 2026: China Stage 2,Group Stage,Week 3,Split,FunPlus Phoenix,EDward Gaming,5,13
VCT 2026: China Stage 2,Group Stage,Seeding,Breeze,Trace Esports,Titan Esports Club,13,9
VCT 2026: China Stage 2,Group Stage,Seeding,Sunset,Trace Esports,Titan Esports Club,14,12
VCT 2026: China Stage 2,Group Stage,Seeding,Sunset,EDward Gaming,All Gamers,13,8
VCT 2026: China Stage 2,Group Stage,Seeding,Haven,EDward Gaming,All Gamers,13,8
VCT 2026: China Stage 2,Group Stage,Seeding,Split,JDG Esports,Dragon Ranger Gaming,14,16
VCT 2026: China Stage 2,Group Stage,Seeding,Breeze,JDG Esports,Dragon Ranger Gaming,13,10
VCT 2026: China Stage 2,Group Stage,Seeding,Ascent,JDG Esports,Dragon Ranger Gaming,11,13
VCT 2026: China Stage 2,Group Stage,Seeding,Breeze,TYLOO,Xi Lai Gaming,8,13
VCT 2026: China Stage 2,Group Stage,Seeding,Lotus,TYLOO,Xi Lai Gaming,12,14
VCT 2026: China Stage 2,Group Stage,Seeding,Sunset,FunPlus Phoenix,Wolves Esports,13,10
VCT 2026: China Stage 2,Group Stage,Seeding,Lotus,FunPlus Phoenix,Wolves Esports,13,11
VCT 2026: China Stage 2,Group Stage,Seeding,Breeze,Nova Esports,Bilibili Gaming,13,8
VCT 2026: China Stage 2,Group Stage,Seeding,Ascent,Nova Esports,Bilibili Gaming,13,7
VCT 2026: Americas Stage 2,Group Stage,Week 2,Split,Evil Geniuses,LEVIATÁN,5,13
VCT 2026: Americas Stage 2,Group Stage,Week 2,Sunset,Evil Geniuses,LEVIATÁN,5,13
VCT 2026: Americas Stage 2,Group Stage,Week 2,Haven,ENVY,MIBR,4,13
VCT 2026: Americas Stage 2,Group Stage,Week 2,Sunset,ENVY,MIBR,3,13
VCT 2026: Americas Stage 2,Group Stage,Week 2,Breeze,FURIA,NRG,12,14
VCT 2026: Americas Stage 2,Group Stage,Week 2,Summit,FURIA,NRG,7,13
VCT 2026: Americas Stage 2,Group Stage,Week 2,Split,100 Thieves,KRÜ Esports,13,0
VCT 2026: Americas Stage 2,Group Stage,Week 2,Ascent,100 Thieves,KRÜ Esports,13,10
VCT 2026: Americas Stage 2,Group Stage,Week 2,Breeze,G2 Esports,Cloud9,13,1
VCT 2026: Americas Stage 2,Group Stage,Week 2,Sunset,G2 Esports,Cloud9,13,6
VCT 2026: Americas Stage 2,Group Stage,Week 2,Lotus,Sentinels,LOUD,13,6
VCT 2026: Americas Stage 2,Group Stage,Week 2,Breeze,Sentinels,LOUD,13,7
VCT 2026: Americas Stage 2,Group Stage,Week 2,Split,ENVY,LEVIATÁN,4,13
VCT 2026: Americas Stage 2,Group Stage,Week 2,Summit,ENVY,LEVIATÁN,8,13
VCT 2026: Americas Stage 2,Group Stage,Week 2,Haven,FURIA,MIBR,12,14
VCT 2026: Americas Stage 2,Group Stage,Week 2,Breeze,FURIA,MIBR,9,13
